
Operator analysis
Operator                                          Tuning   Count      Time     Time/Op  Pr(accept) Smoothed_Pr(accept)
scale(clock.rates)                                0.321   686878     760015   1.11     0.2338      0.23        
epochIntercept                                    0.044   137769     713622   5.18     0.2348      0.28        
epochCoefficient                                  0.014   688548     3567311  5.18     0.2339      0.25        
scale(clock.rates.scale)                          0.908   137683     713354   5.18     0.2355      0.22        
E1.gtr.rates                                      0.076   68641      99078    1.44     0.2336      0.33        
E1.frequencies                                    0.011   69396      100538   1.45     0.2347      0.31        
scale(E1.alpha)                                   0.902   68179      97391    1.43     0.2337      0.19        
E2.gtr.rates                                      0.108   68642      88919    1.3      0.2342      0.27        
E2.frequencies                                    0.015   68946      89554    1.3      0.2323      0.27        
scale(E2.alpha)                                   0.845   68958      88438    1.28     0.2327      0.31        
L2.gtr.rates                                      0.108   69082      92069    1.33     0.2352      0.2         
L2.frequencies                                    0.015   68762      91453    1.33     0.2347      0.22        
scale(L2.alpha)                                   0.862   68235      89402    1.31     0.2335      0.29        
L1.gtr.rates                                      0.09    68565      94916    1.38     0.2326      0.22        
L1.frequencies                                    0.013   68618      95249    1.39     0.2339      0.18        
scale(L1.alpha)                                   0.9     68605      93876    1.37     0.2342      0.31        
scale(nodeHeights(treeModel))                     0.955   206039     1071248  5.2      0.2343      0.22        
allNus                                            0.015   205598     603839   2.94     0.2337      0.26        
subtreeSlide(treeModel)                           6.695   2063069    2131168  1.03     0.2342      0.23        
Narrow Exchange(treeModel)                                2061397    1222483  0.59     0.0046      0.0         
Wide Exchange(treeModel)                                  206248     19758    0.1      0.0         0.0         
wilsonBalding(treeModel)                                  206296     39193    0.19     0.0         0.0         
scale(treeModel.rootHeight)                       0.19    206339     167395   0.81     0.2334      0.28        
uniform(nodeHeights(treeModel))                           2063456    2318977  1.12     0.1345      0.14        
scale(yule.birthRate)                             0.564   206051     40418    0.2      0.234       0.33        

